a la mode,[B:lB:5mEud],"adj.流行的,时髦的,加冰淇淋的",
amplitude,[5Amplitju:d],"n.广阔,丰富,振幅,物理学名词", 
amputate,[5Ampju7teit],"vt.切除(手臂,腿等)", 
amputation,[7Ampju5teiFEn],n.切断手术, 
amulet,[5Amjulit],n.护身符, 
anachronism,[E5nAkrEnizm],n.时代错误,ana（错）＋chron（时间）＋ism→时间错误*同根词：chronicle（编年史） 
anaemia,[E5ni:miE],"n.[医]贫血,贫血症", 
anaesthesia,[7AnEs5Wi:zjE],"n.[医]感觉缺乏,麻木,麻醉(法)", 
analogous,[E5nAlEgEs],"adj.类似的,相似的,可比拟的",ana（并列）＋log（说话）＋y→放在一起说→类比*同根词：prologue（序言） 
analogue,[5AnElCg],"n.相似物,类似情况,对等的人", 
analogy,[E5nAlEdVi],"n.类似,类推", 
anarchic,[A5nB:kik],"adj.无政府主义的,无法无天的",an＋archy（统治）→不统治→无政府*同根词：matriarchy（母权制） 
anarchism,[5AnEkiz(E)m],n.无政府主义, 
anarchist,[5AnEkist],n.无政府主义者, 
anarchy,[5AnEki],"n.无政府状态,政治混乱", 
anatomical,[7AnE5tCmikEl],"adj.解剖的,解剖学的", 
anatomist,[E`nAtEmist],"n.解剖学家,剖析者", 
anatomy,[E5nAtEmi],"n.剖析,解剖学", 
ancillary,[An5silEri],"adj.补助的,副的",来自ancilla（女仆）。 
android,[5AndrCid],n.机器人, 
anecdote,[5AnikdEut],"n.轶事,奇闻", 
anguish,[5ANgwiF],"n.痛苦,苦恼;vt.使极苦闷,使极痛苦;vi.感到痛苦", 
angular,[5ANgjulE],adj.有角的, 
animate,[5Animeit],v.鼓舞;adj.生气勃勃的,in（无）＋anim（生命）＋ate→无生命的*同根词：unanimous（想法一致的） 
animated,[5Animeitid],"adj.活生生的,活泼的,动的,愉快的", 
animation,[7Ani5meiFEn],"n.活泼,有生气",anim（生命）＋ation。*同根词：magnanimous（大度的） 
animism,[5AnimizEm],n.万物有灵论, 
animosity,[7Ani5mCsiti],"n.仇恨,憎恶",anim（生命）＋osity，联想：用整个生命去恨 
animus,[5AnimEs],"n.敌意,意图", 
annals,[5AnElz],"n.编年史,年报", 
annex,[E5neks],"n.附件;vt.并吞,附加", 
annexe,[5Aneks],"n.附加物,附属建筑", 
annihilate,[E5naiEleit],"vt.消灭,歼灭", 
annihilation,[E7naiE5leiFEn],"n.歼灭,灭绝", 
annotate,[5AnEuteit],"v.注释,评注", 
annotation,[AAnEu`teiFLn],"n.注解,评注;注解,注释", 
annuity,[E5nju(:)iti],"n.年金,养老金,年金享受权", 
annul,[E5nQl],"v.废除,取消,废止",an＋nul（消除）→取消。*同根词：nullify（取消） 
annum,[5AnEm],"n.年,岁", 
anode,[5AnEud],"n.[电]阳极,正极", 
anomalous,[E5nCmElEs],"adj.不规则的,反常的",a＋nomal（相同，正常）＋y→不正常 
anomaly,[E5nCmEli],"n.不规则,异常的人或物", 
anonymity,[7AnE5nimiti],"n.匿名,作者不明(或不详)", 
anonymous,[E5nCnimEs],adj.匿名的,an＋onym（名称）＋ity→无名称→匿名*同根词：synonym（同义词） 
anonymously,[],"adv.不具名地,化名地", 
antagonism,[An5tAgEnizEm],"n.对抗(状态),对抗性", 
antagonistic,[An7tAgE5nistik],"adj.反对的,敌对的", 
antagonize,[An5tAgEnaiz],"vt.敌对,对抗", 
antecedent,[7Anti5si:dEnt],n.先辈;adj.先行的, 
antelope,[5AntilEup],n.羚羊, 
antenna,[An5tenE],n.天线,ante（前面）＋nna（表名词）→前面的东西→触角 
anthem,[5AnWEm],"n.圣歌,赞美诗",分割*记忆：anthem：一首一起唱的歌。 
anthology,[An5WClEdVi],"n.诗选,文选",anth（花）＋ology→象花一样的文章→文选*同根词：anthesis（开花期） 
anthropoid,[5AnWrEpCid],n.类人猿;adj.似人类的,anthrop（人）＋oid（象…一样）→像人的。*同根词：misanthrope（厌世者） 
anthropological,[],"adj.人类学的,人类学上的", 
anthropologist,[7AnWrE5pClEdVist],"n.人类学者,人类学家", 
anthropology,[7AnWrE5pClEdVi],n.人类学, 
antibiotic,[7Antibai5Ctik],n.抗生素;adj.抗生的,anti（反）＋bio（生命）＋ic→反生命→抗生素 
antibody,[5Anti7bCdi],n.抗体, 
anticipate,[An5tisipeit],"vt.预期,期望,过早使用,先人一着,占先;v.预订,预见,可以预料", 
anticipation,[7Antisi5peiFEn],"n.预期,预料", 
anticipatory,[An5tisipeitEri],"adj.预料的,预想的", 
anticlimax,[5Anti5klaimAks],"n.突降法,突减,虎头蛇尾", 
anticlockwise,[5Anti7klCkwaiz],adj.adv.逆时针的(地), 
antidote,[5AntidEut],"n.[医]解毒剂,矫正方法",anti（反）＋dote（－剂药）→反毒的药→解毒药注意：dote＝dose（药剂），如overdose（用药过量） 
antifreeze,[5Anti5fri:z],n.<美>[化]防冻剂, 
antipathy,[An5tipEWi],"n.憎恶,反感", 
antiquity,[An5tikwiti],"n.古代,古老,古代的遗物", 
antiseptic,[7Anti5septik],"adj.防腐的,杀菌的,消过毒的;n.防腐剂,杀菌剂",anti（反）＋sept（菌）＋ic→杀菌剂*同根词：septic（有菌的，感染的） 
antithesis,[An5tiWisis],n.对立面, 
antler,[5AntlE],"n.鹿角,茸角", 
antonym,[5AntEunim],n.反义词, 
apathetic,[7ApE5Wetik],"adj.缺乏兴趣的,缺乏感情的,无动于衷的", 
apathetically,[],"adv.冷淡地,无动于衷地", 
apathy,[5ApEWi],"n.缺乏感情或兴趣,冷漠",a＝path（感情）＋y→无感情→冷淡*同根词：sympathy（同情） 
aperitif,[B:peri5ti:f],n.开胃酒, 
aperture,[5ApEtjuE],"n.孔,穴,缝隙,(照相机,望远镜等的)光圈,孔径",aper＝open（开）＋ture→开口→孔． 
apex,[5eipeks],n.顶点, 
apologetic,[E7pClE5dVetik],"adj.道歉的,认错的,辩护的", 
apologetically,[],"adv.辩解地,道歉地", 
apostle,[E5pCsl],"n.使徒(指耶稣十二使徒),传道者,最初的传道者", 
appal,[E5pC:l],v.惊骇,ap＋pal＝pale（苍白）→脸色变白→惊骇 
appalling,[E5pC:liN],"adj.令人震惊的,骇人听闻的", 
appallingly,[E`pC:liNli],adv.令人毛骨悚然地, 
apparel,[E5pArEl],"n.衣服,装饰",appar（出现）＋el→穿出来的东西→衣服联想：apparent（明显的） 
appease,[E5pi:z],"vt.平息,安抚,缓和,使满足", 
appeasement,[E5pi:zmEnt],n.缓和,ap＋pease（和平）→变和平→平息 
append,[E5pend],"vt.附加,添加,悬挂;[计]设置数据文件的搜索路径",ap＋pend（挂上）＋age→挂上的东西→附加物*同根词：appendix（盲肠） 
appendage,[E5pendidV],"n.附加物,附属肢体",ap＋pend（挂上）＋age→挂上的东西→附加物*同根词：appendix（盲肠） 
appendix,[E5pendiks],"n.附录,附属品,[解]阑尾", 
appetizer,[5ApitaizE(r)],"n.开胃食品,开胃物", 
appetizing,[5ApitaiziN],"adj.美味可口的,促进食欲的", 
appliance,[E5plaiEns],"n.用具,器具", 
applicable,[5AplikEbl],"adj.可适用的,可应用的",来自apply一词 
appreciable,[E5pri:FiEbl],"adj.可感知的,可评估的",ap＋prec（赞扬）＋iable→看到并赞扬→明显的同义词：perceptible（感觉到的）． 
apprehend,[7Apri5hend],v.领会理解, 
apprehension,[7Apri5henFEn],"n.理解,忧惧,拘捕", 
apprehensive,[7Apri5hensiv],adj.有理解力的,ap＋prehend（抓住）→抓住不放→逮捕注意：GRE中常考“恐惧”一义，*同根词：prehensile（能抓住的） 
approbation,[7AprE5beiFEn],"n.官方批准,认可,嘉许", 
appropriate,[E5prEupriit],adj.适当的, 
approximation,[E7prCksi5meiFEn],"n.接近,走近,[数]近似值", 
apricot,[5eiprikCt],"n.杏,杏树", 
aptitude,[5Aptitju:d],"n.恰当,智能,聪明,自然倾向", 
aquatic,[E5kwAtik],"adj.水的,水上的,水生的,水栖的",aqu（水）＋atic→水中的，*同根词：aqueous（水的） 
arable,[5ArEbl],"adj.可耕的,适于耕种的",ara（耕种）＋able→可耕的 
arbiter,[5B:bitE],"n.仲裁者,判优器",arbit（判断，裁决）＋er→能作判断之人→泰斗，权威和下面的abitrary一起*记． 
arbitrary,[5B:bitrEri],"adj.任意的,武断的,独裁的,专断的", 
arbitrate,[5B:bitreit],v.作出公断, 
arbitration,[7B:bi5treiFEn],"n.仲裁,公断", 
arbitrator,[5B:bitreitE],"n.仲裁人,公断者", 
arboreal,[B:5bC:riEl],"adj.树的,乔木的,树栖的",arbor（树）＋eal→树的 
arboretum,[7B:bE5ri:tEm],"n.树园,植物园", 
arbour,[`B:bE(r)],"n.藤架,凉亭", 
arc,[B:k],"n.弧,弓形,拱", 
arcade,[B:5keid],"n.[建]拱廊,有拱廊的街道", 
arcane,[B:5kein],"adj.神秘的,不可思议的",arcan（秘密）＋e→神秘的*同根词：arcanum（秘传知识） 
arch,[B:tF],"n.拱门,弓形结构,拱形;v.(使)弯成弓形;adj.主要", 
archaeological,[7B:kiE5lCdVikEl],"adj.考古学的,考古学上的", 
archaeologist,[7B:ki5ClEdVist],n.考古学家, 
archaeology,[7B:ki5ClEdVi],n.考古学, 
archaic,[B:5keiik],"adj.古老的,古代的,陈旧的", 
archbishop,[5B:tF5biFEp],n.[宗]大教主, 
archer,[5B:tFE],"n.射手,弓术家,[天]人马星座",arch（弓）＋er→弓箭手．arch本身是一个单词，意为“使……形成弓形”． 
archetype,[5B:kitaip],n.原型,arche（原来的）＋type（形状）→原型同义词：prototype（典型） 
archipelago,[7B:ki5peligEu],"n.群岛,多岛海", 
archive,[`B:kaiv],vt.存档;n.档案文件,联想archi（主要的）＋ves，把主要的文件放起来。 
ardent,[5B:dEnt],"adj.热心的,热情洋溢的,激烈的,燃烧般的",ard（热）＋ent．*参考arduous． 
ardently,[],"adv.热心地,热烈地", 
ardour,[5B:dE],"n.热心,热情,情欲,激情,灼热", 
arduous,[5B:djuEs],"adj.费劲的,辛勤的,险峻的",注意不要和上面的ardent相混。ard（热）＋uous（多…的）→多热，出汗→费力的 
arena,[E5ri:nE],"n.竞技场,舞台", 
argumentation,[7B:gjumen5teiFEn],"n.争论,论证,论点,讨论", 
argumentative,[7B:gju5mentEtiv],"adj.好辩的,争论的", 
arid,[5Arid],"adj.干旱的,贫瘠的(土地等),无趣的,沉闷的", 
aristocracy,[7Aris5tCkrEsi],"n.贵族,贵族政府,贵族统治", 
aristocrat,[5AristEkrAt],n.贵族, 
aristocratic,[7AristE5E7ristE5k],"adj.贵族的,贵族化的,贵族政治的", 
armament,[5B:mEmEnt],"n.军备,武器", 
armistice,[5B:mistis],"n.停战,休战",armi＋stice（停止）→停止武器→停战同义词：truce（停战） 
armour,[5B:mE],"n.盔甲,装甲钢板,装甲部队", 
aroma,[E5rEumE],"n.芳香,香气,香味", 
aromatherapy,[],n.用香料按摩, 
aromatic,[7ArEu5mAtik],adj.芬芳的, 
array,[E5rei],"n.排列,编队,军队,衣服,大批;vt.部署,穿着,排列",dis＋array（排列，装扮）→漫无秩序，“array”本身是一个单词 
arrears,[E5riEz],"n.到期未付款,欠帐", 
arrogant,[5ArEgEnt],"adj.傲慢的,自大的", 
arrogate,[5ArEugeit],v.冒称,ar＋rog（要求）＋ate→一再要求→霸占 
arsenal,[5B:sinl],"n.兵工厂,军械库", 
arson,[5B:sn],"n.纵火,纵火罪", 
artefact,[5B:tifAkt],"n.人工品,赝象", 
artery,[5B:tEri],"n.动脉,要道", 
arthritis,[B:5Wraitis],n.关节炎, 
articulate,[B:5tikjulit],"adj.有关节的,发音清晰的;vt.用关节连接,接合,清晰明白地说",articul（接合）＋ate→连接得好→说话清楚。 
articulation,[B:7tikju5leiFEn],n.清晰度, 
artifice,[5B:tifis],n.技巧, 
artillery,[B:5tilEri],"n.炮的总称,炮兵的总称",分割*记忆：artillery。 
artisan,[B:ti5zAn;(uF)B:rtizn],"n.工匠,技工",party（党）＋san（人）→党人，信徒，党的支持者． 
artistry,[5B:tistri],n.艺术之性质, 
asap,[],abbr.AsSoonAsPossible尽快, 
asbestos,[Az5bestCs],n.[矿]石棉, 
ascend,[E5send],"v.攀登,上升",a＋scend（爬）→爬上→攀登*同根词：descend（下降） 
ascendant,[E5sendEnt],"n.优势,运星,运道,支配力;adj.上升的,优越的", 
ascension,[E5senFEn],"n.上升,[基督教]耶稣升天", 
ascertain,[7AsE5tein],"vt.确定,探知",as＋certain（肯定的）→弄肯定→确定 
ascetic,[E5setik],"n.禁欲者,苦行修道者;adj.修道的,苦行的",直接来自希腊文，原意是“刻苦锻炼并隐居的人” 
ascribe,[Es5kraib],"vt.归因于,归咎于", 
ascription,[Es5kripFEn],n.归属, 
asexual,[A5seksjuEl],"adj.无性的,无性生殖的", 
asparagus,[Es5pArEgEs],n.[植]芦笋,分割*记忆：as＋paragus：把paragon（榜样）连起来一起*记。 
asperity,[As5periti],"n.严酷,粗暴,刻薄",a＋sper（希望）＋ity→无希望→艰苦*同根词：prosperity（繁荣） 
asphalt,[5AsfAlt],n.沥青, 
asphyxia,[As5fiksiE],"n.窒息,昏厥", 
aspirant,[Es5paiErEnt],"n.有抱负者,有野心者;adj.上进的,有野心的", 
aspirate,[5AspEreit],v.吸气, 
aspiration,[7AspE5reiFEn],"n.热望,渴望",a＋spir（呼吸）＋ation→屏住呼吸等待→渴望*同根词：respiration（呼吸） 
aspire,[Es5paiE],"vi.热望,立志", 
assail,[E5seil],"vt.攻击,质问",as＋sail（跳上去）→跳上去打→猛攻。也可用联想：assail（帆）：扬帆起航向前攻。 
assassin,[E5sAsin],"n.暗杀者,刺客", 
assassinate,[E5sAsineit],"vt.暗杀,行刺", 
assassination,[E7sAsi5neiFEn],n.暗杀, 
assault,[E5sC:lt],"n.攻击,袭击;v.袭击",as＋sault＝sail。*参考：assail． 
assemblage,[E5semblidV],"n.与会者(集合称),集合,集会,装配", 
assent,[E5sent],n.赞成;vi.同意,as＋sent（感觉）→感觉一致→同意。*同根词：dissent（反对） 
assert,[E5sE:t],"v.断言,声称",as＋sert（参与）→一再参与（讨论）→主张*同根词：insert（插入） 
assertion,[E5sE:FEn],"n.主张,断言,声明",其它self组词：selfcomsuming（自耗的）．selfcontained（有自制力的）selfcontent（自满的） 
assertive,[E5sE:tiv],"adj.断定的,过分自信的", 
assertively,[],"adv.断言地,独断地", 
assess,[E5ses],"vt.估定,评定", 
assessment,[E5sesmEnt],"n.(为征税对财产所作的)估价,被估定的金额", 
asset,[5Aset],"n.资产,有用的东西",分割*记忆：asset。 
assiduous,[E5sidjuEs],"adj.勤勉的,刻苦的",as＋sid（坐）＋uous→坐得多的→勤勉的*同根词：preside（主持） 
assimilate,[E5simileit],v.吸收,as＋simil（相同）＋ate→使相同→同化。*同根词：simulate（伪装，模仿） 
assimilation,[EAsimi`leiFEn],"n.同化,同化作用,消化", 
assorted,[E5sC:tid],adj.多样混合的;v.分类配全, 
assortment,[E5sC:tmEnt],n.分类, 
assumption,[E5sQmpFEn],"n.假定,设想,担任,承当,假装,作态", 
asterisk,[5AstErisk],n.星号, 
asteroid,[5AstErCid],"n.[天文]小游星,小行星,海盘车;adj.星状的", 
asthma,[5AsmE],n.[医]哮喘,也写作asthema，分割*记忆：asthema 
astonish,[Es5tCniF],vt.使惊讶, 
astonishment,[Es5tCniFmEnt],n.惊讶, 
astound,[Es5taund],"vt.使惊骇,使大吃一惊", 
astray,[Es5trei],"adv.迷途地,入歧途地",a＋stray（走离），stray（走离，迷路）也是一个单词。 
astrology,[E5strClEdVi],"n.占星术,占星学(以观测天象来预卜人间事务的一种方术)",astro（星）＋ology→占星学，*参考：astronomy（天文学） 
astronaut,[5AstrEnC:t],"n.太空人,宇航员", 
astronautics,[AstrE5nC:tiks],n.太空航空学, 
astronomer,[E5strCnEmE(r)],n.天文学家, 
astronomy,[E5strCnEmi],n.天文学, 
astute,[E5stju:t;(uF)E5stu:t],"adj.机敏的,狡猾的",来自拉丁文astus(灵活)。 
asylum,[E5sailEm],"n.庇护,收容所,救济院,精神病院",a+sylum(逮捕)→不被逮捕→庇护所。 
asymmetric,[Asi5metrik],"adj.不均匀的,不对称的",a+sym(同)+metr(测量)＋ic→测量不同→不对称的*参考:symmetry(对称) 
atheism,[5eiWiizEm],n.无神论,a+the(神)+ism→无神论*同根词:pantheism(多神崇拜) 
athletics,[AW5letiks],n.运动,athlet(竞赛)+ics→竞赛之事→体育*同根词:athlete(运动员) 
atlas,[5AtlEs],"n.地图,地图集","来自希腊神话人物Atlas“阿特拉斯”,他被天神宙斯惩罚在肩上扛着地球。 "
atmosphere,[5AtmEsfiE],"n.大气,空气,气氛", 
atone,[E5tEun],v.弥补, 
atrocious,[E5trEuFEs],"adj.残暴的,凶恶的", 
atrocity,[E5trCsiti],"n.残暴,暴行,凶恶","atroc(阴沉,凶残)+ious→凶狠的 "
attache,[E5tAFei;(uF)AtE5Fei],"n.<法>大使随员,大使馆专员", 
attain,[E5tein],"vt.达到,获得;v.达到",at+tain(拿住)＋ment→拿住的东西→成就。*同根词:abstain(戒除) 
attainable,[E5teinEbl],"adj.可到达的,可得到的", 
attainment,[E5teinmEnt],n.达到,at+tain(拿住)＋ment→拿住的东西→成就。*同根词:abstain(戒除) 
attire,[E5taiE],n.服装,at+tire(顺序)→整理→装扮。 
attorney,[E5tE:ni],"n.<美>律师,(业务或法律事务上的)代理人", 
attribute,[E5tribju(:)t],"n.属性,品质,特征,加于,归结于", 
aubergine,[7EubE5Vi:n7EubZE5Vi:n],"n.茄子,(茄子般的)紫红色", 
auburn,[5C:bEn],n.赤褐色;adj.赤褐色的, 
auction,[5C:kFEn],n.拍卖;vt.拍卖, 
audacious,[C:5deiFEs],"adj.大胆的,卤莽的,大胆创新的",aud(大胆)+acious(多…的)→大胆的 
audible,[5C:dEbl],adj.听得见的, 
audio-visual,[C:diEu5viVuEl],"adj.利用视觉和听觉,视听教学的", 
audit,[5C:dit],"n.审计,稽核,查帐;vt.稽核,旁听;vi.查账",audit(听)+ion→听(新演员)唱→试唱*同根词:auditorium(大讲堂) 
audition,[C:5diFEn],"n.听,听力,试听",audit(听)+ion→听(新演员)唱→试唱*同根词:auditorium(大讲堂) 
auditor,[5C:ditE],"n.计员,核数师", 
auditorium,[7C:di5tC:riEm],"n.听众席,观众席,<美>会堂,礼堂", 
auditory,[5C:ditEri],"adj.耳的,听觉的", 
augment,[C:g5ment],"v.增加,增大;n.增加",aug(提高)+ment→提高→增大 
augmentation,[7C:gmen5teiFEn],n.增加, 
aura,[5C:rE],"n.气氛,气味,(圣象头部的)光环;[医]先兆,预感", 
aurora,[C:5rC:rE],"n.黎明的女神,极光", 
auspices,[5C:spisiz],n.由...主办及赞助, 
auspicious,[C:s5piFEs],"n.吉兆的,幸运的",au+spic(看)+ious→看到的(好事)→吉兆的*同根词:conspicuous(明显的) 
austere,[Cs5tiE],"adj.严峻的,严厉的,操行上一丝不苟的,简朴的", 
austerity,[Cs5teriti],"n.严峻,严厉,朴素,节俭,苦行",au+ster(冷)→冷面孔→一本正经的*同根词:stern(严厉的) 
authentic,[C:5Wentik],adj.可信的, 
authenticity,[7C:Wen5tisiti],"n.确实性,真实性", 
authoritarian,[C:7WCri5tZEriEn],"adj.独裁的,独裁主义的", 
authoritative,[C:5WCritEtiv],"adj.权威的,有权威的,命令的","来自authority(权威,权力),author(作家,有权的人) "
autobiography,[7C:tEbai5CgrEfi],n.自传, 
autocrat,[5C:tEukrAt],n.独裁者, 
autograph,[5C:tEgrB:f],"n.亲笔签名,手稿;adj.署名;v.署名", 
automate,[5C:tEmeit],"v.使自动化,自动操作", 
automation,[C:tE5meiFEn],"n.自动控制,自动操作", 
