abandon,[E5bAndEn],"vt.放弃, 遗弃//n.放任, 狂热"
bond,[bCnd],"n.结合(物), 粘结(剂), 联结, 公债, 债券, 合同//v.结合"
bone,[bEun],n.骨//v.剔除
book,[buk],"n.书, 书籍, 卷, 篇, 帐簿, 名册, 工作簿//v.登记, 预订, 控告"
boot,[bu:t],"n.<美> (长统)靴, 靴子//v.导入"
border,[5bC:dE],"n.边界, 国界, 边, 边沿, 边境//vt.与...接壤, 接近//v.接壤"
bore,[bC:],"n.令人讨厌的人, 怒潮, 枪膛, 孔//v.使烦扰, 钻孔//钻孔"
born,[bC:n],"adj.天生的, 原本, 天生就...的//vbl.出生"
borrow,[5bCrEu],"v.借, 借入, 借用"
boss,[bCs],"n.老板, 上司//vt.指挥"
both,[bEuW],"adj.两者, 双方的//pron.双方, 两者"
bother,[5bCTE],"vt.烦扰, 打扰//vi.烦恼, 操心//n.麻烦, 烦扰//v.打扰"
bottle,[5bCtl],n.瓶子//vt.用瓶装
bottom,[5bCtEm],"n.底, 底部, 尽头, 末端//adj.底部的//vt.装底, 查明真相, 测量深浅//vi.到达底部, 建立基础"
bounce,[bauns],"v.(使)反跳, 弹起, (指支票)被银行退票, 弹跳//n.(球)跳起, 弹回"
bound,[baund],"n.跃进, 跳, 范围, 限度//adj.正要启程的, 开往...去的, 被束缚的, 装订的//v.跳跃, 限制"
boundary,[5baundEri],"n.边界, 分界线"
bow,[bau],"n.弓, 乐弓, 弓形, 鞠躬, 船首//v.鞠躬, 弯腰"
bowl,[bEul],"n.碗, 碗状物, 木球//v.滚, (板球)投球"
box,[bCks],"n.盒子, 箱, 包厢, 岗亭, 一拳//v.装...入盒中, 打耳光, 拳击"
boy,[bCi],"n.男孩, 儿子, 孩子气的人, 男仆"
brain,[brein],"n.脑, 头脑"
brake,[breik],"n.闸, 刹车//v.刹车"
branch,[brB:ntF],"n.枝, 分枝, 分部, 分店, (学科)分科, 部门, 支流, 支脉//v.出现分歧"
brand,[brAnd],"n.商标, 牌子, 烙印//vt.打火印, 污辱"
brass,[brB:s],"n.黄铜, 黄铜制品, 厚脸皮"
brave,[breiv],adj.勇敢的
bread,[bred],"n.面包, 生计"
breadth,[bredW],"n.宽度, (布的)幅宽, (船)幅"
break,[breik],"n.休息, 暂停, 破裂, 突变//v.打破, 违犯, 折断, 削弱, 超过, 突变"
breakfast,[5brekfEst],n.早餐//vi.进早餐
breast,[brest],"n.胸部, 乳房, 胸怀, 心情//vt.以胸对着, 对付"
breath,[breW],"n.呼吸, 气息, 气味, 空气, 微风, 暂停, 瞬间"
breathe,[bri:T],"v.呼吸, 发出"
breed,[bri:d],"v.(使)繁殖, 教养, 抚养//n.品种, 种类"
breeze,[bri:z],"n.微风, 煤屑, 焦炭渣, 轻而易举的事, 小风波//vi.吹微风, 逃走"
brick,[brik],"n.砖, 砖块, 砖形物(如茶砖,冰砖等), <口>心肠好的人"
bride,[braid],n.新娘
bridge,[bridV],"n.桥, 船桥, 鼻梁, 桥牌//vt.架桥, 渡过"
brief,[bri:f],"n.摘要, 大纲//adj.简短的, 短暂的//vt.摘要, (军事)下达简令"
bright,[brait],"adj.明亮的, 辉煌的, 欢快的, 聪明的, 伶俐的"
brilliant,[5briljEnt],"adj.灿烂的, 闪耀的, 有才气的"
bring,[briN],"vt.拿来, 带来, 产生, 引起, 提出(诉讼)//vi.停下"
British,[5britiF],"adj.大不列颠的, 英国的, 英国人的"
broad,[brC:d],"adj.宽的, 阔的, 广泛的, 明朗的, 露骨的, 显著的, 主要的//adv.宽阔地//n.宽阔部分"
broadcast,[5brC:dkB:st],"n.广播, 播音//v.播撒(种子), 广播//(无线电或电视)广播//播送,播放"
brother,[5brQTE],n.兄弟
brow,[brau],"n.眉毛, 额, (面部)表情"
brown,[braun],"n.褐色//adj.褐色的, 棕色的//v.(使)成褐色, 晒黑"
brush,[brQF],"n.刷子, 毛刷, 画笔//vt.刷, 掸, 拂"
bubble,[5bQbl],"n.泡沫, 幻想的计划//vi.起泡, 潺潺的流"
bucket,[5bQkit],"n.桶, 一桶的量, [桶状物]铲斗"
build,[bild],"v.建造, 建筑//n.构造, 体格, 体形"
building,[5bildiN],"n.建筑物, 营造物(如房屋,大楼,工厂,船等)晒黑"
bulb,[bQlb],"n.鳞茎, 球形物"
bulk,[bQlk],"n.大小, 体积, 大批, 大多数, 散装//vt.显得大, 显得重要"
bullet,[5bulit],n.子弹
bundle,[5bQndl],"n.捆, 束, 包//v.捆扎"
burden,[5bE:dn],"n.担子, 负担//v.负担"
bureau,[bjuE5rEu; 5bjuErEu],"n.办公桌, 衣柜//<美>局, 办公署"
burn,[bE:n],"v.烧, 烧焦, 点(灯), 使感觉烧热//n.烧伤, 灼伤"
burst,[bE:st],"v.爆裂, 炸破, 急于, 爆发//n.突然破裂, 爆发, 脉冲"
bury,[5beri],"vt.埋葬, 掩埋, 隐藏"
bus,[bQs],n.公共汽车
bush,[buF],"n.矮树丛, (机械)衬套"
business,[5biznis],"n.商业, 买卖, 交易, 生意, 事情, 事物, 营业, 商行"
busy,[5bizi],"adj.忙碌的, 热闹的, 临时占用的"
but,[bEt; bQt],"prep.除...以外//conj.而是, 但是//adv.几乎, 仅仅"
butter,[5bQtE],"n.黄油, 牛油//vt.涂黄油于...上"
button,[5bQtn],"n.钮扣, [计]按钮//v.扣住, 扣紧"
buy,[bai],"v.买//n.购买, 买卖"
by,[bai],"prep.在附近, 在旁边, 经, 由, 依据, 按照, 通过, 用//adv.通过, 经过, 附近//[域] Belarus, 白俄罗斯"
cabbage,[5kAbidV],"n.[植]甘蓝, 卷心菜"
cabin,[5kAbin],"n.小屋, 船舱"
cabinet,[5kAbinit],"n.(有抽屉或格子的)橱柜, <美>内阁//adj.<美>内阁的, 小巧的"
cable,[5keibl],"n.电缆, 海底电报, 缆, 索//v.打(海底)电报"
cafe,[5kAfei; (?@) kA5fei],"n.咖啡馆, 小餐馆"
cage,[keidV],"n.笼, 槛, (矿井)贯笼"
cake,[keik],"n.蛋糕, 饼, 块"
calculate,[5kAlkjuleit],"v.计算, 考虑, 计划, 打算//v.<美>以为, 认为"
calculator,[5kAlkjuleitE],"n.计算机, 计算器"
calendar,[5kAlindE],"n.日历, 历法"
call,[kC:l],"n.喊声, 叫声, 命令, 号召, 访问, 叫牌, 通话, 必要//v.呼叫, 召集, 称呼, 认为, 命名, 打电话"
calm,[kB:m],"adj.(天气、海洋等)静的, 平静的, 镇静的, 沉着的//v.(使)平静, (使)镇定, 平息"
camel,[5kAmEl],"n.骆驼, [船](打捞用的)浮筒"
camera,[5kAmErE],n.照相机
camp,[kAmp],"n.露营地, 阵营//vi.露营, 扎营"
campaign,[kAm5pein],"n.[军]战役, (政治或商业性)活动, 竞选运动//vi.参加活动, 从事活动, 作战"
campus,[5kAmpEs],"n.<美>校园, 大学教育"
can,[kAn; kEn],"vt.装进罐中, 把食品装罐//n.罐头, 铁罐//conj.能, 可以"
Canadian,[kE5neidjEn],adj.加拿大的//n.加拿大人
canal,[kE5nAl],"n.运河, 小道, 导管, 槽, 沟渠//vt.开运河"
cancel,[5kAnsEl],"vt.取消, 删去"
cancer,[5kAnsE],"n.癌, 毒瘤"
candidate,[5kAndidit],"n.候选人, 投考者"
candle,[5kAndl],n.蜡烛//vt.对着光检查
cap,[kAp],"n.帽子, 军帽, (瓶)帽, (笔)帽//vt.戴帽子, 盖在...顶上"
capable,[5keipEbl],"adj.有能力的, 能干的, 有可能的, 可以...的"
capacity,[kE5pAsiti],"n.容量, 生产量, 容量, 智能, 才能, 能力, 接受力, 地位"
capital,[5kApitEl],"n.首都, 首府, 大写字母, 资本, 资金, 资产//adj.首都的, 重要的, 死罪的, 大写的, <口>极好的"
captain,[5kAptin],"n.队长, 首领, 船长, 机长, (空军, 海军)上校, (陆军)上尉//v.指挥, 统帅"
capture,[5kAptFE],"n.捕获, 战利品//vt.俘获, 捕获, 夺取"
car,[kB:],"n.汽车, 小汽车, 车辆, 客车, [铁]车厢"
carbon,[5kB:bEn],"n.[化]碳(元素符号C), (一张)复写纸"
card,[kB:d],"n.纸牌, 卡片"
care,[kZE],"n.注意, 照料, 烦恼, 忧虑, 由...转交//vi.关心, 顾虑, 照顾, 喜爱//vt.在意"
career,[kE5riE],"n.(原意：道路, 轨道)事业, 生涯, 速度"
careful,[5kZEful],"adj.小心的, 仔细的"
careless,[5kZElis],"adj.粗心的, 疏忽的"
cargo,[5kB:gEu],"n.船货, (车、船、飞机等运输的)货物"
carpenter,[5kB:pintE],n.木匠
carpet,[5kB:pit],n.地毯
carriage,[5kAridV],"n.马车, 客车, 运费, 姿态, （机械）车架"
carrier,[5kAriE],"n.运送者, 邮递员, 带菌者, (自行车等)行李架, 搬运器, 航空母舰//n.[电]载波（信号）"
carry,[5kAri],"n.进位, 射程, 运载//vt.携带, 运送, 支持, 支撑, 传送, 意味//vi.被携带, 能达到"
cart,[kB:t],"n.大车, 手推车//vt.用车装载"
case,[keis],"n.事, 病例, 案例, 情形, 场合, 讼案, 容器, (语法)格"
cash,[kAF],n.现金//vt.兑现
cassette,[kB:5set],"n.盒子, 盒式磁带"
cast,[kB:st],"n.投掷, 铸件, 脱落物, 一瞥, 演员表//v.投, 抛, 投射, 浇铸, 计算, 派(角色)到"
castle,[5kB:sl],n.城堡
casual,[5kAVjuEl],"adj.偶然的, 不经意的, 临时的"
cat,[kAt],n.猫
catalog,[5kAtElCg],"n.目录, 目录册//v.编目录"
catch,[kAtF],"n.捕捉, 捕获物, (窗)钩//v.捕获, 赶上(车船等), 发觉, 感染（疾病）//vi.抓住，燃着"
cattle,[5kAtl],"n.牛, 家养牲畜"
cause,[kC:z],"n.原因, 导致某事发生的人或事, 动机, 理由, 根据, 目标, 理想, 事业//vt.引起, 惹起, 使(发生), 促成"
cave,[keiv],"n.洞穴, 窑洞//vi.凹陷, 投降//vt.挖洞, 使凹陷"
cease,[si:s],"v.停止, 终了"
ceiling,[5si:liN],"n.天花板, 最高限度"
celebrate,[5selibreit],"v.庆祝, 祝贺, 表扬, 赞美, 举行"
cell,[sel],"n.单元, 细胞, 蜂房, (尤指监狱或寺院的)单人房间, 电池"
cement,[si5ment],"n.水泥, 接合剂//vt.接合, 用水泥涂, 巩固//vi.粘牢"
cent,[sent],"n.(货币单位)分, 分币"
centimetre,[`senti7mi:tE(r)? 巩固],"n.厘米,公分"
central,[sen5trB:l],"adj.中心的, 中央的, 重要的, 主要的, 中枢的, 走中间道路的//n.<美>电话总机"
centre,[5sentE],"n.中心, 中央, 中心区//v.集中"
century,[5sentFuri; -tFEri],"n.世纪, 百年, 百个, 板球中的一百分, 百元(钞票)屑涞缆返"
ceremony,[5serimEni],"n.典礼, 仪式, 礼节, 报幕员"
certain,[5sE:tEn],"adj.确定的, 某一个, 无疑的, 必然的, 可靠的//pron.某几个, 某些"
certainly,[5sE:tEnli],"adv.的确, (口语)当然, 行"
certificate,[sE5tifikit],"n.证书, 证明书//vt.发给证明书, 以证书形式授权给..."
chain,[tFein],"n.链(条),镣铐, 一连串, 一系列//vt.用链条拴住"
chair,[tFZE],"n.椅子, 教授职位, 主席位, 讲座//vt.使入座, 使就任要职"
chairman,[5tFZEmEn],"n.主席, 会长"
chalk,[tFC:k],"n.粉笔, 白垩//vt.用粉笔写, 和以白垩"
challenge,[5tFAlindV],n.挑战//vt.向...挑战
chamber,[5tFeimbE],"n.室, 房间, 议院, 会所, (枪)膛"
champion,[5tFAmpjEn],"n.冠军, 拥护者, 战士//vt.拥护, 支持"
chance,[tFB:ns],"n.机会, 可能性, 偶然性, 运气//v.碰巧, 偶然发生, 冒...的险adj.偶然的"
change,[tFeindV],"n.改变, 变化, 转变, 找回的零钱, 找头, 辅币//vt.改变, 变革, 改造, 兑换"
channel,[5tFAnl],"n.海峡, 水道, 沟, 路线//vt.引导, 开导, 形成河道//信道,频道"
chapter,[5tFAptE],n.(书籍)章
character,[5kAriktE],"n.(事物的)特性, 性质, 特征(的总和), (人的)品质, 字符, 性格, 特征, 人物//vt.写, 刻, 印, 使具有特征"
characteristic,[7kAriktE5ristik],"adj.特有的, 表示特性的, 典型的//n.特性, 特征"
charge,[tFB:dV],"n.负荷, 电荷, 费用, 主管, 掌管, 充电, 充气, 装料//v.装满, 控诉, 责令, 告诫, 指示, 加罪于, 冲锋, 收费"
chart,[tFB:t],"n.海图, 图表//vt.制图"
chase,[tFeis],"n.追赶, 追击//vt.追赶, 追逐, 雕镂"
cheap,[tFi:p],"adj.便宜的, 不值钱的"
cheat,[tFi:t],"n.欺骗, 骗子//v.欺骗, 骗取"
check,[tFek],"n.阻止, 制止, 控制, 阻止物, 支票, 检讫的记号, 饭馆的帐单//vt.检查, 制止, 核对, 寄存, 托运//vi.证明无误, 核对无误, 逐项相符, [象棋]将军"
cheek,[tFi:k],"n.颊, 厚颜, 类似颊的事物, <俚>臀部"
cheer,[tFiE],"n.愉快, 欢呼//v.(使)快活, (对)欢呼"
cheerful,[5tFiEful],"adj.愉快的, 高兴的"
cheese,[tFi:z],"n.干酪, <俚>头等的人或事物"
chemical,[5kemikEl],"adj.化学的//n.化学制品, 化学药品//n.化学药品"
chemist,[5kemist],"n.化学家, 药剂师"
chemistry,[5kemistri],n.化学
cheque,[tFek],n.支票
chess,[tFes],n.国际象棋
chest,[tFest],"n.胸腔, 胸膛, 箱, 柜"
chew,[tFu:],"vt.咀爵(食物等)//v.咀嚼, 认真考虑"
chicken,[5tFikin],"n.小鸡, 小鸟, 鸡肉"
chief,[tFi:f],"n.首领, 领袖, 酋长, 长官, 主要部分, 最有价值的部分//adj.主要的, 首要的, 首席的, 主任的"
child,[tFaild],"n.孩子, 儿女, 子孙, (头脑、空想等的)产物, 弟子, 追随者"
childhood,[5tFaildhud],n.孩童时期
chill,[tFil],"n.寒意, 寒战, 寒心//adj.寒冷的, 扫兴的//v.使冷, 变冷, 冷藏"
chimney,[5tFimni],"n.烟囱, 灯罩"
chin,[tFin],"n.下巴, 下颚"
China,[5tFainE],"n.中国, 瓷器"
Chinese,[5tFai5ni:z],"adj.中国的, 中国人的, 中国话的, 汉语的//n.中国人, 中国话, 汉语, 中文"
chocolate,[5tFCkElit],"n.巧克力, 巧克力色"
choice,[tFCis],"n.选择, 抉择, 精选品, 选择机会, 选择权//adj.精选的, 上等的, 挑三拣四的, 可选的, 宠爱的, 爱惜的"
choke,[tFEuk],"v.窒息, 哽住, 使呼吸困难, 阻塞//n.窒息, 阻气门"
choose,[tFu:z],"v.选择, 选定"
chop,[tFCp],"n.砍, 排骨, 官印, 商标//vt.剁碎, 砍, (风浪)突变"
Christian,[5kristjEn],"n.基督徒, 信徒//adj.基督教的, 信基督教的"
Christmas,[5krismEs],"n.（纪念耶稣基督生的节日, 12月25日）圣诞节"
church,[tFE:tF],"n.教堂, 礼拜堂, 教会, 教派, [宗]礼拜"
cigarette,[sigE5ret],"n.香烟, 纸烟"
cinema,[5sinimE],"n.电影院, 电影"
circle,[5sE:kl],"n.圆周, 圆形物, 派系, 循环//v.围, 环绕//盘旋"
circuit,[5sE:kit],"n.电路, 一圈, 周游, 巡回"
circular,[5sE:kjulE],"adj.圆形的, 循环的//n.函件//通知"
circulate,[5sE:kjuleit],"v.(使)流通, (使)运行, (使)循环, (使)传播"
circumference,[sE5kQmfErEns],"n.圆周, 周围"
circumstance,[5sE:kEmstEns],"n.环境, 详情, 境况"
citizen,[5sitizn],"n.市民, 公民"
city,[5siti],"n.城市, 都市, 全体居民, 城邦"
civil,[5sivl],"adj.全民的, 市民的, 公民的, 国民的, 民间的.民事的, 根据民法的, 文职的, 有礼貌的"
civilization,[7sivilai`zeiFEn;-li`z-],"n.文明, 文化, 文明社会//文明, 一个著名游戏的名称"
civilize,[5sivilaiz],"vt.使开化, 使文明, 教化"
claim,[kleim],"n.(根据权利提出)要求, 要求权, 主张, 要求而得到的东西//vt.(根据权利)要求, 认领, 声称, 主张, 需要"
clap,[klAp],"n.拍手声, 霹雳声//v.鼓掌, 轻拍"
clarify,[5klArifai],"v.澄清, 阐明"
class,[klB:s],"n.班级, 阶级, 社会等级, 种类, (一节)课//vt.把...分类(或分等级)业"
classical,[5klAsikEl],"adj.古典的, 正统派的, 古典文学的"
classification,[7klAsifi5keiFEn],"n.分类, 分级"
classify,[5klAsifai],"vt.分类, 分等"
classmate,[5klB:smeit],n.同班同学
classroom,[5klB:srum],n.教室
claw,[klC:],"n.爪, 脚爪//v.抓"
clay,[klei],"n.粘土, 泥土, 肉体, 人体, 似黏土的东西, 陶土制的烟斗"
clean,[kli:n],"adj.清洁的, 干净的, 清白的//v.打扫, 使干净, 清扫"
clear,[kliE],"adj.清楚的, 清晰的, 清澈的, 光亮的, 空旷的, 有条理的//adv.清楚地, 完全地//v.扫除, 清除, 晴, 跳过, 净得"
clerk,[klB:k; klE:k],"n.职员, 办事员, <美> 店员"
clever,[5klevE],"adj.机灵的, 聪明的"
cliff,[klif],"n.悬崖, 绝壁"
climate,[5klaimit],"n.气候, 风土, 思潮"
climb,[klaim],"v.攀登, 爬//n.攀登, 爬"
clock,[klCk],n.时钟
close,[klEuz],"v.关, 关闭, 结束, 停止, 使靠近, 靠拢, 会合, 包围//n.结束//adj.近的, 紧密的, 精密的, 齐根的, 封闭的, 亲密的, 闷气的//adv.接近, 紧密地"
cloth,[klC(:)W],"n.布, 织物, 衣料"
clothe,[klEuT],"vt.给...穿衣, 覆盖"
clothes,[klEuTz],"n.衣服, [总称]被褥, 各种衣服, <美俚>家丑"
clothing,[5klEuTiN],n.衣服
cloud,[klaud],"n.云, 烟云, 天空, 污点//vt.以云遮敝, 玷污, 使黯然//vi.乌云密布, 阴沉"
cloudy,[5klaudi],"adj.多云的, 阴天的, 阴沉"
club,[klQb],"n.俱乐部, 夜总会, 社, 棍棒, (高尔夫球等的)球棒, (扑克牌)梅花//vt.棍打, 协作, 联合, 把...当棍棒用"
clue,[klu:],n.线索
clumsy,[5klQmzi],adj.笨拙的
coach,[kEutF],"n.四轮大马车, 长途汽车, 教练//v.训练, 指导"
coal,[kEul],n.煤//v.加煤
coarse,[kC:s],"adj.粗糙的, 粗鄙的"
coast,[kEust],"n.海岸, 滑坡//v.沿海岸而行"
coat,[kEut],"n.外套, (动物的)皮毛, (植物的)表皮, (漆等的)层, 涂层//vt.涂上, 包上"
cock,[kCk],"n.公鸡, 雄鸟, 头目, (水)龙头, <俚>阴茎//vt.使耸立, 使竖起, 堆成锥形//vi.大摇大摆地走, 翘起"
code,[kEud],"n.代码, 代号, 密码, 编码//v.编码"
coffee,[5kCfi],"n.咖啡, 咖啡树, 咖啡茶, 咖啡豆, 咖啡色"
coil,[kCil],"v.盘绕, 卷"
coin,[kCin],"n.硬币//vt.铸造(硬币)? 咖啡豆, 咖啡色"
cold,[kEuld],"n.寒冷, [物]零下温度, 伤风, 感冒//adj.寒冷的, 使人战栗的, 冷淡的, 不热情的, 失去知觉的"
collapse,[kE5lAps],"n.倒塌, 崩溃, 失败, 虚脱//vi.倒塌, 崩溃, 瓦解, 失败, 病倒"
collar,[5kClE],抓住...的领口［头颈］； 给（衣服）上衣领； 使戴项圈
colleague,[5kCli:g],"n.同事, 同僚"
collect,[kE5lekt],"v.收集, 聚集, 集中, 搜集//adj.由收件人付款的//adv.由收件人付款地"
collection,[kE5lekFEn],"n.收藏, 征收, 搜集品, 捐款"
collective,[kE5lektiv],adj.集体的//n.集体
college,[5kClidV],"n.(综合大学中的)学院, (独立的)学院, <美>大学, <英>公学, 书院, 高等专科学院, 大学, 学会"
collision,[kE5liVEn],"n.碰撞, 冲突"
colony,[5kClEni],"n.殖民地, 侨民, (聚居的)一群同业, 一批同行, (生物)群体"
color,[5kQlE],"n.<美>(=colour)颜色, 色彩, 脸色, 风格, 外貌//vt.给...涂颜色, 改变...的颜色, 粉饰, 脸红, 歪曲//vi.获得颜色, 变色"
column,[5kClEm],"n.圆柱, 柱壮物, 专栏, 纵队"
comb,[kEum],"n.梳子, 梳, 鸡冠, 蜂巢//vi.梳(发), 搜索"
combination,[7kCmbi5neiFEn],"n.结合, 联合, 合并, 化合, 化合物"
combine,[kEm5bain],"v.(使)联合, (使)结合//n.联合企业, 联合收割机//n.联合收割机"
come,[kQm],"vi.来, 来临, 到达, 出现, 来(自), 出生(于), 开始//int.嗨!//vbl.来, 到达, 合计为"
comfort,[5kQmfEt],"n.安慰, 舒适, 安慰者//vt.安慰, 使(痛苦等)缓和"
comfortable,[5kQmfEtEbl],adj.舒适的
command,[kE5mB:nd],"n.命令, 掌握, 司令部//v.命令, 指挥, 克制, 支配, 博得, 俯临"
commander,[kE5mB:ndE],"n.司令官, 指挥官"
comment,[5kCment],"n.注释, 评论, 意见//vi.注释, 评论"
commerce,[5kCmE(:)s],n.商业
commercial,[kE5mE:FEl],"adj.商业的, 贸易的"
commission,[kE5miFEn],"n.委任, 委托, 代办(权), 代理(权), 犯(罪), 佣金//vt.委任, 任命, 委托, 委托制作, 使服役"
commit,[kE5mit],"vt.犯(错误), 干(坏事), 把...交托给, 提交, 答应负责"
committee,[kE5miti],n.委员会
common,[5kCmEn],"adj.共同的, 公共的, 公有的, 普通的, 庸俗的, 伪劣的//n.[复][总]平民, 公有, 普通, 共通"
communicate,[kE5mju:nikeit],"v.沟通, 通信, (房间、道路、花园等)相通, 传达, 感染"
communication,[kE7mju:ni5keiFn],"n.传达, 信息, 交通, 通讯"
communism,[5kCmjunizEm],n.共产主义
communist,[5kCmjunist],"n.共产主义者, 共产党员adj.共产主义者的"
community,[kE5mju:niti],"n.公社, 团体, 社会, (政治)共同体, 共有, 一致, 共同体, (生物)群落"
companion,[kEm5pAnjEn],"n.同伴, 共事者"
company,[5kQmpEni],"n.公司, 陪伴, (一)群, (一)队, (一)伙, 连, 连队"
comparative,[kEm5pArEtiv],"adj.比较的, 相当的"
compare,[kEm5pZE],"v.比较, 相比, 比喻  n.比较"
comparison,[kEm5pArisn],"n.比较, 对照, 比喻, 比较关系"
compass,[5kQmpEs],"n.罗盘, 指南针,圆规//v.包围"
compel,[kEm5pel],"vt.强迫, 迫使"
compete,[kEm5pi:t],"vi.比赛, 竞争"
competent,[5kCmpitEnt],"adj.有能力的, 胜任的"
competition,[kCmpi5tiFEn],"n.竞争, 竞赛"
complain,[kEm5plein],"v.抱怨, 悲叹, 控诉"
complaint,[kEm5pleint],"n.诉苦, 抱怨, 牢骚, 委屈, 疾病"
complete,[kEm5pli:t],"adj.全部的, 完全的, 完成的//vt.完成, 使完善"
complex,[5kCmpleks],"adj.复杂的, 合成的, 综合的//n.联合体"
complicated,[5kCmplikeitid],"adj.复杂的, 难解的"
component,[kEm5pEunEnt],"n.成分//adj.组成的, 构成的"
compose,[kEm5pEuz],"v.组成, 写作, 排字, (使)安定, 调解"
composition,[kCmpE5ziFEn],"n.写作, 作文, 成分, 合成物"
compound,[5kCmpaund],"n.混合物, [化]化合物//adj.复合的//v.混合, 配合"
comprehension,[7kCmpri5henFEn],"n.理解, 包含"
comprehensive,[7kCmpri5hensiv],"adj.全面的, 广泛的, 能充分理解的, 包容的"
compress,[kEm5pres],"vt.压缩, 摘要叙述//n.(外科)敷布"
comprise,[kEm5praiz],"v.包含, 由...组成"
